objectid,filename,format,title,creator,date,description,subject,location,medium,dimensions,file size,source,type,language,rights,rightsstatement
F001,F001.jpg,image/jpeg,Fish Market,Joachim Beuckelaer,1568,"Oil painting of a fish market in the Netherlands. The painting showcases several types of fish, both whole and butchered. ",fish;food market;oil painting;Netherlandish art;secular art,Netherlandish,Oil on Baltic oak,50 5/8 × 68,3.4 MB,"European Paintings, The Met Collection",Image,eng,Public domain,https://www.metmuseum.org/hubs/open-access
F002,F002.jpg,image/jpeg,Still Life with Cake,Raphaelle Peale,1818,"Oil painting with a plate of cake, grapes, and white wine",cake;still life;food painting;American art;grapes;wine,American,Oil on wood,10 3/4 x 15 1/4,2.5 MB,"The American Wing, The Met Collection",Image,eng,Public domain,https://www.metmuseum.org/hubs/open-access
F003,F003.jpg,Image/jpeg,"Still Life with Oysters, a Silver Tazza, and Glassware",Willem Claesz Heda,1635,"Oil painting of glassware, silver plates, oysters, a lemon, and beer.",still life;oysters;grapes;beer;Dutch art;,Dutch,Oil on wood,19 5/8 x 31 3/4,1.5 MB,"European Paintings, The Met Collection",Image,eng,Public domain,https://www.metmuseum.org/hubs/open-access
F004,F004.jpg,Image/jpeg,Still Life of Grapes and Peaches,Panfilo Nuvolone,ca. 1617,Oil painting of grapes and peaches on a silver fruit tray with bees flying around the fruit,still life;grapes;peaches;fruit paintings;Italian art;bees,Italian,Oil on wood,14 3/16 × 17 1/2,3.1 MB,"European Paintings, The Met Collection",Image,eng,Public domain,https://www.metmuseum.org/hubs/open-access
F005,F005.jpg,image/jpeg,A Kitchen,Hendrick Sorgh,ca. 1643,"Oil painting of two maids cleaning fish and peeling vegetables. They are surrounded by kitchenware, a cat, and an open birdcage. In the background between the two maids are a couple embracing.",domestic life;domestic art;fish;cats;Dutch art;secular art;vegetables;food preparation,Dutch,Oil on wood,20 1/2 x 17 3/8,2.3 MB,"European Paintings, The Met Collection",Image,eng,Public domain,https://www.metmuseum.org/hubs/open-access
F006,F006.jpg,image/jpeg,The Feast of Acheloüs,Peter Paul Rubens; Jan Brueghel the Elder,ca. 1615,"Oil painting of Greek mythology scene featuring Acheloüs the river god and Theseus speaking over a table full of food surrounded by other figures. The table features chicken, oysters, shellfish, and various serving and drinking vessels. ",Greek mythology;feast;Thesus;Acheloüs;Netherlandish art;,Netherlandish,Oil on wood,42 1/2 x 64 1/2,2.5 MB,"European Paintings, The Met Collection",Image,eng,Public domain,https://www.metmuseum.org/hubs/open-access
F007,F007.jpg,image/jpeg,The Baker's Cart ,Jean Michelin,1656,"Oil painting of French peasants selling breads from a wooden cart. The painting depicts two adult men, one adult woman, and four children. Everyone is wearing tattered clothes and all but one of the subjects is looking straight out from the painting.",French art;French peasants;secular art;bread;family;,French,Oil on canvas,38 3/4 x 49 3/8,2.8 MB,"European Paintings, The Met Collection",Image,eng,Public domain,https://www.metmuseum.org/hubs/open-access
F008,F008.jpg,image/jpeg,New York Daily News,William Michael Harnett,1888,"Small scale oil painting depicting a copy of the New York Daily News dated April 3, 1888, a beer mug, a smoking pipe, two biscuits, and various tiny crumbs on the table.",Miniature art;American art;newspaper;beer;tobacco;,American,Oil on wood,5 1/2 x 7 1/2,1.6 MB,"The American Wing, The Met Collection",Image,eng,Public domain,https://www.metmuseum.org/hubs/open-access
F009,F009.jpg,image/jpeg,The Family of John Q. Aymar,George W. Twibil Jr. (Attributed),1833,"Oil portrait of a family featuring a mother, father, and two young daughters. They are arranged around a table holding a platter of various fruits, a pitcher, books, and fabric.",Family portrait;American art;fruit;American life;,American,Oil on canvas,34 3/4 x 42,3.5 MB,"The American Wing, The Met Collection",Image,eng,Public domain,https://www.metmuseum.org/hubs/open-access
F010,F010.jpg,image/jpeg,The Last Supper,Ugolino da Siena (Ugolino di Nerio),ca. 1325-1330,"Tempera painting of the Last Supper depicting Jesus Christ and his apostles around a table filled with cutlery, tableware, and dishes of meat.",Christian art;Italian art;supper;meat;Jesus Christ;apostles;,Italian,Tempera and gold on wood,13 1/2 x 20 3/4,2.8 MB,"The Robert Lehman Collection, The Met Collection",Image,eng,Public domain,https://www.metmuseum.org/hubs/open-access
F011,F011.jpg,image/jpeg,The Temptation,Pietro Longhi (Pietro Falca),1746,"Oil painting of a wealthy man sitting at a table with bread, two tea cups, and a dish with some sort of white food on it, perhaps butter. He is flanked by two men and two women are approaching the table. The first woman approaching the table is a sex worker, per the Met.",Secular art;erotic imagery;bread;Italian art;,Italian,Oil on canvas,24 x 19 1/2,1.8 MB,"European Paintings, The Met Collection",Image,eng,Public domain,https://www.metmuseum.org/hubs/open-access
F012,F012.jpg,image/jpeg,Still Life with Ham,Philippe Rousseau,1870s,"Oil painting of a table holding a folded newspaper, a large ham, wine, plates, and cutlery.",Ham;still life;secular art;French art;newspaper;,French,Oil on canvas,28 3/4 x 36 1/4,2.8 MB,"European Paintings, The Met Collection",Image,eng,Public domain,https://www.metmuseum.org/hubs/open-access
F013,F013.jpg,image/jpeg,The Brioche,Edouard Manet,1870,"Oil painting of a wooden table covered in a white napkin under a large loaf of brioche. The table also has grapes, peaches, plums, a red box, and a white flower. ",Still life;French art;secular art;brioche;fruit;,French,Oil on canvas,25 5/8 x 31 7/8,4.2 MB,"European Paintings, The Met Collection",Image,eng,Public domain,https://www.metmuseum.org/hubs/open-access
F014,F014.jpg,image/jpeg,Young Husband: First Marketing,Lilly Martin Spencer,1854,"Oil painting of a frowning man carrying a basket of groceries that are spilling onto the street. Another man is behind him looking amused. Rain is falling, but the man carrying the groceries has no umbrella.",American art;comedic art;produce;fruits;vegetables;grocery shopping;marriage;,American,Oil on canvas,29 1/2 x 24 3/4,3.2 MB,"The American Wing, The Met Collection",Image,eng,Public domain,https://www.metmuseum.org/hubs/open-access
F015,F015.jpg,image/jpeg,The Afternoon Meal (La Merienda),Luis Meléndez,ca. 1772,"Oil painting of a picnic basket surrounded by two loaves of bread, grapes, peaches, pears, a melon, and dishware. The background depicts an outdoor setting.",Spanish art;still life;secular art;picnic;countryside;bread;fruit;,Spanish,Oil on canvas,41 1/2 x 60 1/2,2.3 MB,"European Paintings, The Met Collection",Image,eng,Public domain,https://www.metmuseum.org/hubs/open-access